Mood,Phoneme,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,jawForward,jawRight,jawLeft,jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthRight,mouthLeft,mouthSmileLeft,mouthSmileRight,mouthFrownLeft,mouthFrownRight,mouthDimpleLeft,mouthDimpleRight,mouthStretchLeft,mouthStretchRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressLeft,mouthPressRight,mouthLowerDownLeft,mouthLowerDownRight,mouthUpperUpLeft,mouthUpperUpRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,tongueOut
Neutral,M,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0.1,0,0,0.452,0.1,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0.125,0.125,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Neutral,N,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.4,0.4,0,0,0.4,0.506,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.477,0.1,0.151,0,0,0,0.619,0.619,0.371,0.371,0,0,0.125,0,0,0.2,0.7,0.7,0.1,0.1,0.627
Neutral,NG,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.1,0,0,0.343,0.5,0.3,0.25,0,0,0,0,0,0,0.2,0.2,0,0,0.1,0.1,0,0,0.2,0.2,0.6,0.6,0.8,0.8,0.15,0.15,0,0,0,0.2,0.2,0.2,0.2,0.2,0.262
Neutral,OW,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.4,0,0,0.7,0,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.3,0.3,0.3,0,0,0.1,0,0,0.05,0.3,0.3,0.2,0.2,0.2
Neutral,OY,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0.2,0.1,0,0,0,0.4,0,0.8,0.5,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0.2,0.2,0.3,0.3,0.3,0.3,0,0,0.2,0.1,0.1,0.05,0.3,0.3,0.2,0.2,0.2
Neutral,P,0.1,0,0,0,0,0,0.5,0.1,0,0,0,0,0,0.5,0,0,0,0.2,1,0.2,0.3,0,0,0,0,0,0,0.25,0.25,0,0,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0,0,0.1,0.1,0
Neutral,R,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0.7,0,0,0,0.4,0.614,0.5,0.35,0,0,0,0,0,0,0.3,0.3,0.2,0.2,0.1,0.1,0,0,0,0,0.35,0.35,0.4,0.4,0,0,0.2,0,0,0.1,0.25,0.25,0.4,0.4,0.35
Neutral,S,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0.5,0,0,0.1,0.1,0,0,0.3,0.3,0,0,0,0,0.2,0,0.2,0.2,0.4,0.4,0.55,0.55,0,0,0.3,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.2
Neutral,SH,0,0,0,0,0,0.2,0.7,0,0,0,0,0,0.2,0.7,0,0,0,0.55,1,0.4,0.35,0,0,0,0,0,0,0.3,0.3,0.2,0.2,0.1,0.22,0.195,0,0.509,0.509,0.721,0.721,0.721,0.721,0,0,0.125,0.1,0.1,0,0.4,0.4,0.4,0.4,0.293
Neutral,T,0.05,0,0,0,0,0.2,0.7,0.05,0,0,0,0,0.2,0.7,0,0,0,0.55,1,0.6,0.6,0,0,0,0,0,0,0.3,0.3,0.2,0.2,0.1,0.22,0.195,0,0.509,0.509,0.6,0.6,0.721,0.721,0.2,0.2,0.3,0.1,0.1,0,0.4,0.4,0.4,0.4,0.337
Neutral,TH,0,0,0,0,0,0.2,0.7,0,0,0,0,0,0.2,0.7,0,0,0,0.432,0.428,0.499,0.367,0,0,0,0,0,0,0.3,0.3,0.2,0.2,0,0.371,0.069,0,0.65,0.65,0.7,0.7,0.721,0.721,0.4,0.4,0.3,0.3,0.3,0.2,0.4,0.4,0.4,0.4,0.631
Neutral,UH,0,0,0,0,0,0.2,0.9,0,0,0,0,0,0.2,0.9,0,0,0,0.3,0.287,0.9,0.9,0,0,0,0,0,0,0.3,0.3,0.2,0.2,0,0.1,0.05,0.094,0.65,0.65,0.2,0.2,0.2,0.2,0.2,0.2,0.125,0.3,0.3,0.45,0.4,0.4,0.6,0.6,0.342
Neutral,UW,0.025,0,0,0,0,0,0.9,0.025,0,0,0,0,0,0.9,0,0,0,0.3,0.809,1,0.8,0,0,0,0,0,0,0.3,0.3,0.2,0.2,0,0.1,0.05,0.094,0.65,0.65,0.2,0.2,0.1,0.1,0.2,0.2,0.4,0.3,0.3,0.45,0.4,0.4,0.6,0.6,0.342
Neutral,V,0.025,0,0,0,0,0,0.9,0.025,0,0,0,0,0,0.9,0,0,0,0.489,0.809,0.5,0.7,0,0,0,0,0,0,0.3,0.3,0.2,0.2,0.6,0.1,0.05,0.094,0.65,0.65,0.2,0.2,0.5,0.5,0.2,0.2,0.4,0.3,0.3,0.5,0.4,0.4,0.6,0.6,0.342
Neutral,W,0.025,0,0,0,0,0,0.9,0.025,0,0,0,0,0,0.9,0,0,0,0.489,0.809,0.5,0.7,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.6,0.1,0.05,0.094,0.9,0.9,0.2,0.2,0.5,0.5,0.2,0.2,0.4,0.3,0.3,0.5,0.4,0.4,0.6,0.6,0.342
Neutral,Y,0.025,0,0,0,0,0,0.9,0.025,0,0,0,0,0,0.9,0,0,0,0.4,0.809,0.8,0.7,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.06,0.1,0.05,0.094,0.9,0.9,0.7,0.7,0.5,0.5,0.35,0.35,0.5,0.1,0.1,0.6,0.4,0.4,0.6,0.6,0.342
Neutral,Z,0.025,0,0,0,0,0,0.9,0.025,0,0,0,0,0,0.9,0,0,0,0.3,0.809,0.8,0.7,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.06,0.1,0.05,0.094,0.9,0.9,0.7,0.7,0.5,0.5,0.35,0.35,0.5,0.1,0.1,0.6,0.4,0.4,0.6,0.6,0.342
Neutral,ZH,0.025,0,0,0,0,0,0.9,0.025,0,0,0,0,0,0.9,0,0,0,0.17,0.809,0.8,0.85,0,0,0,0,0.2,0.2,0.85,0.85,0.6,0.6,0.06,0.1,0.05,0.094,0.9,0.9,0.7,0.7,0.5,0.5,0.35,0.35,0.5,0.1,0.1,0.6,0.4,0.4,0.6,0.6,0.235
